Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Twin Falls Public Library,201 4th Ave E Twin Falls ID 83301-6313,US,Library Mail,5.85,3 lbs 14.60 oz
Salt Lake County Library Services,2197 E Ft Union Blvd Cottonwood Heights UT 84121-3139,US,Library Mail,5.85,3 lbs 8.10 oz
Brigham Young University - ILL,3330 Hbll Provo UT 84602-6901,US,Library Mail,5.85,3 lbs 3.10 oz
University of Southern California,650 W 35th St Lvl 110-A Los Angeles CA 90089-2571,US,Library Mail,6.56,4 lbs 2.40 oz
Sno-Isle Libraries,7312 35th Ave NE Tulalip WA 98271-7417,US,USPS Ground,6.79,5 lbs 10.90 oz
San Juan Island Library,1010 Guard St Friday Harbor WA 98250-9240,US,USPS Ground,7.01,6 lbs 14.70 oz
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,US,USPS Ground,7.07,9 lbs 13.30 oz
Everett Public Library,2702 Hoyt Ave Everett WA 98201-3556,US,Library Mail,3.72,15 oz
Broadwater School & Community Library,201 N Spruce St Townsend MT 59644-2215,US,Library Mail,3.72,13.20 oz
St John's College,1160 Cam De Cruz Blanca Santa Fe NM 87505-4599,US,Library Mail,3.72,1 lbs 
Fontbonne University,6800 Wydown Blvd Saint Louis MO 63105-3098,US,Library Mail,3.72,1 lbs 
Highline College Library,PO Box 98000 2400 S 240th St Des Moines WA 98198-9800,US,Library Mail,3.72,1 lbs 
Woodstock Public Library,414 W Judd St Woodstock IL 60098-3131,US,Library Mail,3.72,1 lbs 
Saint Charles Public Library,1 S 6th Ave St Charles IL 60174-2195,US,Library Mail,3.72,1 lbs 
Walla Walla Public Library,238 E Alder St Walla Walla WA 99362-1967,US,Library Mail,3.72,1 lbs 
Arapahoe Libraries,12855 E Adam Aircraft Cir Englewood CO 80112-4550,US,Library Mail,3.72,1 lbs 
Provo City Library,550 N Univ Ave Provo UT 84601-1618,US,Library Mail,3.72,1 lbs 
Beaver Public Library,PO Box 192 Beaver UT 84713-0192,US,Library Mail,3.72,1 lbs 
Montgomery County Public Library,104 I H 45 N Conroe TX 77301-2720,US,Library Mail,3.72,1 lbs 
"California State Univ, San Bernardino",5500 University Pkwy San Bernardino CA 92407-2318,US,Library Mail,3.72,1 lbs 
Harris County Public Library System,5749 South Loop E Houston TX 77033-1604,US,Library Mail,3.72,1 lbs 
University of CO at Colorado Springs,1420 Astn Blffs Pkwy Colorado Springs CO 80918-3735,US,Library Mail,3.72,1 lbs 
Caro Area District Library,840 W Frank St Caro MI 48723-1428,US,Library Mail,3.72,1 lbs 
Palo Alto College Library,1400 W Villaret Blvd San Antonio TX 78224-2499,US,Library Mail,3.72,1 lbs 
Fairfax County Public Library,4000 Stringfellow Rd Chantilly VA 20151-2628,US,Library Mail,3.72,1 lbs 
Boston Public Library,700 Boylston St Boston MA 02116-2813,US,Library Mail,3.72,1 lbs 
South San Francisco Public Library,840 W Orange Ave South San Francisco CA 94080-3125,US,Library Mail,3.72,1 lbs 
Northwest University,PO Box 579 5520 108th Ave NE Kirkland WA 98083-0579,US,Library Mail,3.72,1 lbs 
Trinity University,607 Kings Ct San Antonio TX 78212-5317,US,Library Mail,3.72,1 lbs 
"California State University, Long Beach",1250 N Bellflower Blvd Long Beach CA 90840-1901,US,Library Mail,4.43,2 lbs 
East Central University,1100 E 14th St Ada OK 74820-6915,US,Library Mail,4.43,2 lbs 
"Marion County Library, Subdistrict #1",212 S Main St Palmyra MO 63461-1650,US,Library Mail,4.43,2 lbs 
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,US,Library Mail,4.43,2 lbs 
Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,US,Library Mail,4.43,2 lbs 
Johnson County Library,PO Box 2933 Shawnee Mission KS 66201-1333,US,Library Mail,4.43,2 lbs 
Ramsey County Library,4560 Victoria St N Shoreview MN 55126-5863,US,Library Mail,4.43,2 lbs 
Cal Poly Humboldt University Library,1 Harpst St Arcata CA 95521-8299,US,Library Mail,4.43,2 lbs 
Hiram College Library,PO Box 67 11694 Hayden Street Hiram OH 44234-0067,US,Library Mail,4.43,2 lbs 
Addison Public Library,4 Friendship Plz Addison IL 60101-2499,US,Library Mail,4.43,2 lbs 
New York Public Library,"11 W 40th St, Frnt South Court Mezzanine New York NY 10018-2668",US,Library Mail,4.43,2 lbs 
Horry County Memorial Library,801 Main St Conway SC 29526-4343,US,Library Mail,4.43,2 lbs 
Waukesha Public Library,321 Wisconsin Ave Waukesha WI 53186-4786,US,Library Mail,5.14,2 lbs 14.40 oz
Massachusetts Library System,"33 Boston Post Rd W, Ste 400 Marlborough MA 01752-1829",US,Library Mail,5.14,2 lbs 10.40 oz
University of Houston,4333 University Dr Houston TX 77204-2000,US,Library Mail,5.14,2 lbs 0.70 oz
Brigham Young University-Idaho,"525 S Center St, Stop 407 Rexburg ID 83460-0407",US,Library Mail,5.14,2 lbs 5.10 oz
Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,US,Library Mail,5.14,3 lbs 
Missoula Public Library,455 E Main St Missoula MT 59802-4799,US,Library Mail,5.14,3 lbs 
Mid-Continent Public Library,15616 E US Highway 24 Independence MO 64050-2057,US,Library Mail,5.85,3 lbs 9.80 oz
Trinity College Library,300 Summit St Hartford CT 06106-3100,US,Library Mail,5.85,3 lbs 0.70 oz
Queens Library,8911 Merrick Blvd Jamaica NY 11432-5242,US,Library Mail,5.85,3 lbs 10.70 oz
Texas State University-San Marcos,601 University Dr San Marcos TX 78666-4684,US,Library Mail,6.56,4 lbs 1.90 oz
San Francisco Public Library,100 Larkin St San Francisco CA 94102-4733,US,Library Mail,6.56,5 lbs 
