Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Tolono Public Library District,PO Box 759 111 E Main St Tolono IL 61880-0759,US,Library Mail,5.14,3 lbs 
Blaine County Library,PO Box 610 112 4th St W Chinook MT 59523-0610,US,Library Mail,5.14,3 lbs 
North Dakota State University,PO Box 6050 Ndsu Libraries - Dept 2080 Fargo ND 58108-6050,US,Library Mail,5.14,3 lbs 
Homedale Public Library,PO Box 1087 Homedale ID 83628-1087,US,Library Mail,5.14,3 lbs 
Siouxland Libraries,PO Box 7403 200 N Dakota Ave Sioux Falls SD 57117-7403,US,Library Mail,5.14,3 lbs 
Texas State University-San Marcos,601 University Dr San Marcos TX 78666-4684,US,Library Mail,5.14,3 lbs 
Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,US,Library Mail,5.14,3 lbs 
LeRoy Collins Leon County Public Library,200 W Park Ave Tallahassee FL 32301-7716,US,Library Mail,5.14,3 lbs 
Cameron University Library,2800 W Gore Blvd Lawton OK 73505-6320,US,Library Mail,5.14,3 lbs 
Rockford Public Library,214 N Church St Rockford IL 61101-1061,US,Library Mail,5.14,3 lbs 
Buffalo & Erie County Public Library,1 Lafayette Sq Buffalo NY 14203-1887,US,Library Mail,5.14,3 lbs 
University of Virginia,PO Box 800724 2450 Old Ivy Rd Charlottesville VA 22908-0724,US,Library Mail,5.14,3 lbs 
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,US,Library Mail,5.85,4 lbs 
Mid-Continent Public Library,15616 E US Highway 24 Independence MO 64050-2057,US,Library Mail,5.85,4 lbs 
U.S. Army Corps of Engineers,7400 Leake Ave New Orleans LA 70118-3651,US,Library Mail,5.85,4 lbs 
San Juan Island Library,1010 Guard St Friday Harbor WA 98250-9240,US,Library Mail,7.98,7 lbs 
Brigham Young University - ILL,3330 Hbll Provo UT 84602-6901,US,Library Mail,7.98,7 lbs 
University of Calgary,2500 University Dr NW Calgary AB T2N 1N4,CA,First-Class Int'l,22.23,1 lbs 
